 ,England,LCC Lancaster,30°,54.0471051,-2.823864457,Lancaster,500,1
2,England,Depot Manchester ,50°,53.46462667,-2.320755302,ManDepot50,500,1
3,England,Depot Manchester ,40°,53.46462667,-2.320755302,ManDepot40,500,1
4,England,Depot Manchester ,30°,53.46462667,-2.320755302,ManDepot30,500,1
5,England,Depot Manchester ,20°,53.46462667,-2.320755302,ManDepotCircuit,500,1
6,England,Boulder UK Preston,45°,53.72532747,-2.642946802,Preston45,500,1
7,England,Boulder UK Preston,55°,53.72532747,-2.642946802,Preston55,500,1
8,England,Garage Airton,40°,54.029125,-2.148354282,Garage,100000000,1
9,England,LCC Kendal,40°,54.34174981,-2.740011614,KendalWoodie,500,1
10,England,The Ledge Inverness,30°,57.48109561,-4.244562513,Inverness30,500,1
11,England,The Ledge Inverness,40°,57.48109561,-4.244562513,Inverness40,500,1
12,England,Depot Leeds Armley,30°,53.79858708,-1.573600085,Leeds35,1000,1
13,England,Depot Leeds Armley,45°,53.79858708,-1.573600085,Leeds45,1000,1
14,England,Depot Leeds Armley,15°,53.79858708,-1.573600085,LeedsCircuit,1000,1
15,England,Nottingham climbing Centre,40°,52.97232705,-1.17058061,Nottingham,500,1
16,England,Project Climbing Poole,40°,50.71802696,-1.979273703,Poole,500,1
17,England,Oakwood,45°,51.40348937,-0.798954611,Oakwood,500,1
18,England,Hangar Reading,40°,51.46342163,-1.012748808,HangarReading,500,1
19,England,TCA Bristol,40°,51.45554073,-2.569183001,TCABristol,500,1
20,England,Redpoint Bristol ,40°,51.43368456,-2.611515855,BristolRed,500,1
21,England,Flashpoint Bristol,40°,51.44560868,-2.581134282,BristolFlash,500,1
22,England,Sub Station Brixton,30°,51.45882621,-0.128370154,Brixton30,500,1
23,England,Sub Station Brixton,40°,51.45883068,-0.12831996,Brixton40,500,1
24,England,Boulder Hut Ellesmere Port,40°,53.29357025,-2.917805876,BoulderHut,500,1
25,England,LCC Bethnal Green ,40°,51.5281014,-0.056258727,BethWall40,500,1
26,England,LCC Bethnal Green ,30°,51.5281014,-0.056258727,Beth30,500,1
27,England,LCC Euston,20°,51.52474397,-0.141833687,Euston,500,1
28,Germany,Projekt Eins 45er,45°,48.98224451,12.19525884,Neutraubling45,500,1
29,England,Flashpoint Swindon,40°,51.57622814,-1.763929943,Swindon,500,0
30,France,Art Bloc Nice,40°,43.710212,7.193248,ArtBloc,500,1
31,England,Rock Over Bolton,30°,53.57871245,-2.52735019,Bolton30,500,1
32,England,Rock Over Bolton,40°,53.57871245,-2.52735019,Bolton40,500,1
33,England,LCC Croydon,40°,51.37393161,-0.115773878,Croydon,500,1
34,Wales,Boulders Cardiff,30°,51.49314,-3.142037,Cardiff30,500,1
35,Wales,Boulders Cardiff,40°,51.49314,-3.142037,Cardiff40,500,1
36,England,Hangar Plymouth,40°,50.40382474,-4.167017611,HangarPlymouth,500,1
37,England,Hangar Exeter,40°,50.70858167,-3.528330459,HangarExeter,500,1
38,England,FreekLime Huddersfield,40°,53.64709739,-1.772600666,Huddersfield40,500,1
39,England,FreekLime Huddersfield,20°,53.64709739,-1.772600666,Huddersfield20,500,1
40,England,Hangar Sheffield,40°,53.39093891,-1.450757674,HangarSheffield,500,1
41,England,LCC Kendal,Auto Belay,54.34174981,-2.740011614,KendalAuto,500,1
42,England,King Kong Keswick,30°,54.60155652,-3.139761781,Keswick,500,1
43,England,LCC Vauxhall West,40°,51.48501924,-0.122904567,Vaux,500,1
44,Wales,Flashpoint Swansea,40°,51.62198644,-3.939859917,FlashSwansea,500,1
45,Wales,Flashpoint Cardiff,45°,51.46164546,-3.197773383,FlashCardiff,500,1
46,England,Oakwood,10°,51.40348937,-0.798954611,MightyOak,500,1
47,England,Oakwood,30°,51.40348937,-0.798954611,Oak30,500,1
48,Norway,Oslo,40°,59.9351868,10.7589208,Oslo,500,1
49,England,The ARCC,40°,51.3613116,-1.247695907,TheARCC,500,2
50,England,Hangar Liverpool,40°,53.34985179,-2.886531995,Liverpool,500,1
51,England,Sub Station Macclesfield,40°,53.26810273,-2.119205129,Macc,500,1
52,England,Red Spider,40°,50.8581296,-1.166149333,RedSpider,500,1
53,England,White Spider,30°,51.37258768,-0.291115627,WhiteSpider,500,1
54,England,Durham Climbing Centre,40°,54.75148818,-1.615679839,Durham,500,1
55,England,Freeklime York,40°,53.98907526,-1.097803777,FreeYork,500,1
56,England,The Valley Newcastle Upon Tyne,10°,54.97363829,-1.589419623,Valley10,500,1
57,England,The Valley Newcastle Upon Tyne,30°,54.97363829,-1.589419623,Valley30,500,1
58,England,The Valley Newcastle Upon Tyne,40°,54.97363829,-1.589419623,Valley40,500,1
59,England,The Valley Newcastle Upon Tyne,50°,54.97363829,-1.589419623,Valley50,500,1
60,England,Mad Volume Hull,40°,53.74975362,-0.34841835,Hull,500,0
61,England,Mad Volume Hull,25°,53.74975362,-0.34841835,Hull25,500,0
62,England,Rof 59 Newton Aycliffe,40°,54.60016616,-1.572330851,Rof59,500,0
63,England,Indi Rock Southend,30°,51.54119217,0.712437667,Southend,500,1
64,England,The Font Wandsworth,40°,51.44726942,-0.191304885,TheFont,550,0
65,England,LCC Canary Wharf,45°,51.509693,-0.027445,Canary45,500,1
66,England,LCC Canary Wharf,35°,51.509693,-0.027445,Canary35,500,1
67,England,LCC Ravens Wall,40°,51.49423218,-0.236274507,Ravens,500,1
68,England,LCC Harrow Wall,40°,51.58024729,-0.344807436,Harrow2,500,1
69,England,Motherboard The Climbing Works,40°,53.35175815,-1.485127096,Motherboard,500,1
70,England,Depot Sheffield,20°,53.38518851,-1.441379982,SheffCircuit,500,1
71,England,Depot Sheffield,30°,53.38518851,-1.441379982,Sheffield30,500,1
72,England,Depot Sheffield,50°,53.38518851,-1.441379982,Sheffield50,500,1
73,England,LCC Preston,15°,53.76925608,-2.68104735,PrestonLCC15,500,1
74,England,Stronghold Tottenham Hale,40°,51.58539253,-0.060592203,Stronghold,500,1
75,Scotland,3 Wise Monkies Fort William,15°,56.81694197,-5.111106476,Fort15,500,0
76,Scotland,3 Wise Monkies Fort William,30°,56.81694197,-5.111106476,Fort30,500,0
77,Scotland,3 Wise Monkies Fort William,40°,56.81694197,-5.111106476,Fort40,500,0
78,Wales,Plas y Brenin,30°,53.10190788,-3.917739033,PYB,500,1
79,Germany,Projekt Eins 27er,27°,48.98224451,12.19525884,Neutraubling27,550,1
80,Germany,Projekt Eins Tanzpalast,5°,48.98224451,12.19525884,Neutraubling2,550,1
81,Germany,Projekt Eins ZigZag,0°,48.98224451,12.19525884,Neutraubling3,500,1
82,Germany,Projekt Eins 5er,5°,48.98224451,12.19525884,Neutraubling5,500,1
83,England,Parthian Wandsworth,30°,51.45458613,-0.192939636,ParthianWandsworth30,500,1
84,England,Parthian Wandsworth,50°,51.45458613,-0.192892803,ParthianWandsworth50,500,1
85,France,Jarvis Sallanches,38°,45.93642167,6.62753716,RobJarvis,2000,1
86,England,Oxford Brookes,40°,51.75412305,-1.229020553,OxfordBrookes,500,1
87,England,Rock Over Sharston,40°,53.39674624,-2.252284478,RockOverSharston,500,1
88,England,The Gallery Oxford,15°,51.74757464,-1.240206526,TheGallery,500,1
89,England,Rock Over Manchester Central,40°,53.49153181,-2.24541152,RockoverMan,500,1
90,Espanan,Sharmatico Moralzarzal,30°,40.68181757,-3.950775574,Sharmatico,500,1
91,Isle of Man,Hot Rocks Climbing,40°,54.147748,-4.502269,HotRocks,500,1
92,England,LCC Croydon Auto Belay,10°,51.37393161,-0.115773878,CroyAuto,500,1
93,Isle of Man,Compound 17a ,10°,54.09081384,-4.63018045,BikeIOM,500,1
94,France,James Pearson,40°,44.80217209,6.565445162,JamesPearson,500,1
95,England,Perse School,30°,52.18005702,0.13664391,Perse,500,1
96,England,The Church TCA,25°,51.47170563,-2.576278059,TCAChurch,500,1
97,England,Frome Boulder room,40°,51.23791902,-2.33564059,Frome,500,1
98,England,Boost Woodie,30°,52.56109372,1.122158938,Jules,1000,1
99,England,ABC conference 2024,0°,53.41844961,-1.387741231,ABConference,500,1
100,Norway,UWC RCN,30°,61.33305507,5.333320484,FlekkeNorway,2000,1
101,England,Hangout Portland,30°,50.529907,-2.452421,HangoutPortland,500,1
102,England,Awesome Walls Sheffield,45°,53.39932084,-1.446856486,AwesomeSheffield,500,1
103,England,The Hub Bradford,30°,53.78502366,-1.783431797,HubBradford,500,1
104,Scotland,Becca's Board,40°,55.7667758,-4.326770917,BeccaDay,2000,1
105,England,Pembroke College Cambridge,5°,52.20150196,0.118333998,PembrokeCollege,500,1
106,Canada,Vicki Canada,30°,54.029125,-2.148354282,VickiHauCanada,100000000,1
107,Australia,Meng New South Wales,40°,-33.62152197,150.3016582,MengNewSouthWales,2000,1
90,Espanan,Valencia,10°,40.68181757,-3.950775574,Valencia,100000000,1
103,England,Rainbow Rocket North,20°,52.21730655,0.157161692,RainbowNorth,500,1
